kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets
sok16006;0;2;0;2;1.67;3;1.67;3;1.67;3;1.67;3;0.65;4;1.39;6;1.39;6;1.39;6;1.39;6;1.39;6;2.56;7;3.35;9;5.03;10;5.03;10;5.03;10;5.96;11;5.96;11;5.96;12;7.91;13;6.7;14;7.64;15;6.62;16;7.58;17;7.58;17;8.49;18;5.23;20;5.23;20;5.23;20
alina.semenova;0;2;0;2;0;2;0;2;3.14;3;9.07;4;4.71;6;4.71;6;-4.5;7;-4.5;7;-9.27;8;-9.27;8;-9.27;8;-13.8;10;-13.8;10;-10.65;13;-7.53;16;-4.81;18;-4.81;18;-1.45;21;-4.65;22;-1.71;25;0.57;27;3.51;28;6.92;31;3.98;32;-0.19;34;0;36;0;36;0;36
Evnk;-19.45;1;-19.45;1;-19.81;3;-7.99;15;-7.99;15;-7.99;15;-7.99;15;-7.99;15;-7.99;15;-7.99;15;-7.99;15;-7.99;15;-7.99;15;-7.99;15;-7.99;15;-7.99;15;-7.99;15;-7.99;15;-7.99;15;-7.99;15;-7.99;15;-7.99;15;-7.99;15;-16.76;27;-1.88;39;-23.98;51;-22.3;62;-24.08;75;-14.53;86;-28.18;99
Egor_Leonov;0;1;0;1;0;1;1.62;3;1.62;3;1.62;3;1.62;3;1.62;3;1.62;3;1.62;3;1.62;3;1.62;3;1.62;3;1.62;3;1.62;3;1.62;3;7.16;5;14.35;6;16.2;10;3.21;14;3.21;14;3.21;14;3.21;14;4.04;16;12.42;17;12.42;17;6.8;18;6.8;18;6.8;18;6.8;18
Parav0388;0;1;3.04;2;3.04;2;-2.09;3;-2.09;4;-3.66;5;-3.66;5;-3.66;5;-3.66;5;-3.66;5;0.62;6;0.62;6;3.04;7;6.38;9;6.38;9;6.38;9;6.38;9;6.38;9;6.38;10;9.65;11;9.65;11;9.65;11;9.65;11;9.65;11;4.17;12;4.17;12;-1.01;15;-1.01;15;-1.19;16;-1.19;16
leomessi_1;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;13.42;5;8.5;11;8.5;11;6.73;12;6.73;12;6.73;12
%c1%e8%ed%fc%e7%fb%ee%ed%e3;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;-4;3;-4;3;-4;3;-13.36;4;-13.36;4;-17.69;7;-8.94;9;-9.81;10;-14.32;12;-4.87;14;-4.87;14;-1.33;16;-1.33;16;-1.33;16;-1.33;16
Domifan;0;1;5.64;2;5.64;2;8.16;3;8.16;3;8.16;3;8.16;3;8.16;3;8.16;3;8.16;3;8.16;3;8.16;3;11.73;4;11.73;4;11.73;4;6.15;5;10.01;7;7.22;8;10.48;9;4.96;10;-0.27;11;-4.26;12;-4.26;12;-4.26;12;-1.72;13;-1.72;13;-1.72;13;-1.72;13;-1.72;13;-1.72;13
sakaar;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;-4.97;3;-6.13;5;-6.13;5;-6.13;5;-4.44;6;-2.49;7;-7.35;8;-5.65;9;-5.65;9;-5.65;9;-5.65;9;-5.65;9;-5.65;9;-5.65;9;-5.65;9;-2.93;10;-2.93;10;-2.93;10;-0.04;11
olegek;0;1;0;1;0;1;0;1;5.44;2;5.44;2;5.44;2;10.68;6;10.68;6;10.68;6;10.68;6;10.68;6;10.68;6;10.68;6;-1.52;7;-1.52;7;-1.52;7;-1.52;7;-1.52;7;-1.52;7;-6.41;9;3.52;10;3.52;10;3.52;10;3.52;11;3.52;12;9.09;13;7.63;15;7.63;15;7.63;15
komlyk.alexandr;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;2.14;6;15.03;10;15.03;10;10.6;15;-0.14;18;-0.81;19
Tishka82;0;1;-5;2;-5;2;-5;2;-5;3;-1.84;7;-0.94;11;3.76;13;3.76;13;-1.17;15;-2.73;16;-3.04;21;-3.04;21;-9.42;23;-7.02;25;-7.02;25;-11.67;27;-8.4;29;-4.96;33;11.74;41;-6.85;47;-7.8;50;-15.21;54;-16.24;59;-17.42;63;-16.11;64;-16.46;72;-3.08;74;-3.08;74;-3.08;74
Nefartit;-0.53;7;9.64;13;9.64;13;9.64;13;8.78;14;3.62;22;3.62;22;2.48;24;3.32;26;3.32;26;3.32;26;3.32;26;3.32;26;1.14;28;-0.52;35;-0.07;37;0.25;40;6.4;46;6.4;46;6.4;46;8.4;47;8.34;54;8.34;54;8.34;54;8.34;54;-3.98;58;-3.98;58;-3.98;58;-0.31;59;-0.31;59
ZorroZ;0;1;0.4;2;0.4;2;0.4;2;0.4;3;0.77;4;0.77;4;0.77;4;0.77;4;0.77;4;-0.22;5;-0.22;5;-1.73;8;-2.69;9;-2.3;10;-1.95;11;-1.95;11;-1.53;12;-1.53;12;-2.02;15;-1.07;18;-1.05;19;-1.53;21;-1.53;21;-0.38;22;-0.38;22;-0.38;22;-0.38;22;-0.38;22;-0.38;22
daradat;0;1;0;1;0;1;0;1;0;1;0;1;0;1;-9.75;5;-8.67;7;-8.67;7;-9.83;9;-17.13;12;-14.31;14;-13.08;15;-15.69;18;-12.58;19;-9.53;20;-14.06;22;-14.06;22;-14.95;24;-19.07;26;-9.73;29;-9.73;29;-9.73;29;-5.88;32;-1.76;34;-3.69;35;-3.36;38;1.6;39;1.6;39
Marmu;0;1;0;1;0;1;0;1;0;1;0;1;0;1;-4.97;2;-4.97;2;-4.97;2;-4.97;2;-9.72;3;-9.72;3;-9.72;3;-9.72;3;-9.72;3;-8.5;4;-13.04;5;-13.04;5;-9.78;7;-12.45;8;-12.45;8;-12.45;8;-12.45;8;-12.45;9;-19.05;12;-19.05;12;-23.07;15;-20.59;17;-8.37;23
buxbet;0;1;2.17;2;2.17;2;2.17;3;4.64;4;1.2;6;6.22;7;6.22;7;6.22;7;6.22;7;1.76;9;4.96;10;-0.18;12;1.64;16;-1.17;18;-1.17;19;-1.17;20;0.89;21;0.24;23;0.24;24;-1.58;26;-2.57;27;0.5;28;0.5;30;-0.4;31;-4.31;33;-4.31;33;-2.96;34;-0.6;35;-0.6;35
