kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets
vasily19731973;0;1;0;1;0;1;0;1;0;1;10.31;4;9.35;6;6.08;7;6.08;7;6.08;7;0.78;8;3.9;9;0.77;10;0.77;10;0.77;10;0.77;10;0.77;10;0.77;10;0.77;10;0.77;10;0.77;10;2.08;11;2.08;11;2.08;11;2.08;11;2.08;11;2.08;11;2.08;11;2.08;11;2.08;11
Football2020;0;1;-5.25;2;-10.5;10;-5.78;15;-11.71;19;-10.82;25;7.14;27;-8.67;36;1.31;43;11.92;52;27.31;60;19.43;68;-3.23;76;-13.1;82;-22.77;84;-22.77;84;-22.77;84;-22.77;84;-22.77;84;-22.77;84;-22.77;84;-33.27;87;-33.27;87;-33.27;87;-33.27;87;-30.86;98;-7.17;106;-11.27;114;-5.54;122;-5.54;122
ShirokovD;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;2.3;10;-2.7;13;-0.65;16;-0.65;16;-2.86;17;-2.86;17;-2.86;17;-2.86;17
ZorroZ;0;1;-0.51;2;-1.02;5;-1.02;5;-1.82;9;-1.61;10;-1.61;10;-2.09;11;-2.09;11;-2.09;11;-2.57;13;-2.74;16;-5.72;17;-5.72;17;-5.72;17;-6.2;18;-6.2;18;-5.74;21;-4.65;24;-4.73;26;-4.73;26;-4.36;28;-4.36;28;-4.36;29;-4.84;31;-4.21;34;-3.76;36;-3.76;36;-2.68;37;-2.68;37
Victor Quandt;0;1;1.17;2;-1.55;3;-0.07;5;1.58;6;-1.14;7;0.85;8;2.81;9;4.6;10;6.51;11;6.51;11;6.51;11;6.51;11;6.51;11;7.76;12;9.64;13;11.82;14;11.82;14;11.82;14;11.82;14;11.82;14;11.82;14;11.82;14;9.09;16;9.09;16;2.64;18;0.88;19;-1.84;20;-1.84;20;-1.84;20
andrey.ugnivenko;0;2;5.66;3;1.43;4;-2.63;5;-6.24;7;-1.51;9;-6.18;11;-2.53;12;-2.53;12;-2.53;12;-6.43;14;-1.81;15;1.51;16;6.05;17;2.86;19;10.46;21;8.75;24;6.54;25;6.54;25;11.11;27;11.11;30;-6.12;31;-9.88;32;-6.48;33;-3.77;34;-3.77;34;-7.39;35;-11.01;36;-11.01;38;-11.01;38
POZITRON;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;10.04;3;10.04;3;14.65;5;12.2;7;1.34;8;3.46;10;-5.55;11;-5.55;11;-5.55;11;-5.55;11
Atennikov;0;3;2.79;7;12.5;8;15.69;11;24.7;12;28.81;13;32.03;14;28.44;18;34.71;19;28;22;28.69;25;31.17;28;33.82;29;33.82;31;36.22;32;42.93;36;27.1;39;24.22;40;19.49;41;7.52;42;7.52;42;7.52;42;2.16;43;4.19;46;8.78;49;8.78;49;3.35;51;1.28;53;-7.59;55;-7.59;55
juventusfan17041979;0;1;-5.01;3;-7.66;4;-7.66;4;-0.95;6;-3.61;7;-3.61;7;-8.61;8;-8.61;9;-9.31;13;-9.31;13;-9.31;13;-9.31;13;-9.31;13;-8.11;18;-8.11;18;-3.76;20;-3.76;20;-3.76;20;15.97;22;15.97;22;10.97;23;5.96;25;5.96;25;5.96;25;5.96;25;5.96;25;5.96;25;5.96;25;5.96;25
Kaissachess;0;1;6.45;2;8.31;4;11.56;5;13.85;6;13.85;6;13.85;6;18.54;7;18.54;7;12.61;8;12.61;8;12.61;8;12.61;8;12.61;8;12.61;8;6.98;9;6.98;9;1.64;13;1.64;13;1.78;14;1.78;14;1.78;14;12.47;17;2.88;18;-2.27;19;-7.15;20;-11.8;21;-10.45;22;-9.52;23;-9.52;23
