kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets;31_profit;31_bets
Billi Bons;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;-7.6;4;1.96;12;29.89;23;30.41;29;21.9;33
azzarovv;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;-4.97;3;2;6;2;6;2;6;18.24;7;20.71;8;14.7;10;27.37;11;21.01;13
Dooom91;0;1;3.92;3;3.92;3;3.07;4;3.07;4;3.07;4;3.07;4;3.07;4;3.07;4;3.07;4;3.07;4;3.07;4;3.07;7;-3.92;10;-3.92;10;-3.92;10;-3.92;10;-3.92;10;-3.92;10;-3.92;10;-3.92;10;-3.92;10;-3.92;10;-3.92;10;-3.92;10;-3.92;10;-3.92;10;-3.92;10;-3.92;10;7.69;13;;
Demon9;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;-2.75;3;-0.19;5;-0.19;5;-0.19;5;3.03;8;3.03;8;12.8;9;12.8;12;12.8;12;7.17;16;9.55;18;7.74;21;7.74;21;;
velichinskiy8;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;0;7;-6.71;15;3.87;23
ser46;0;2;2.15;3;2.15;3;-0.91;4;-0.91;4;-0.91;4;-0.91;4;-5.36;6;-5.36;6;-6.64;8;-6.64;8;-1.53;9;-1.53;9;-1.53;9;-1.53;9;-1.53;9;-1.53;9;-1.53;9;-1.53;9;-1.53;9;-1.53;9;-1.53;9;-1.53;9;-1.53;9;-1.53;9;-1.53;9;-1.53;9;-1.53;9;2.49;11;15.1;12;9.35;13
hansn;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;8.48;4;16.75;5;20.77;7;17.57;9;6.13;12;13.02;13;26.82;17;20.8;20;21.66;22;25.59;23;25.59;23;25.59;23;25.59;23;25.59;23;;
Colop;0;1;0;1;1.48;2;-3.59;3;4.21;4;4.21;4;4.21;4;4.21;4;4.21;4;11.9;5;10.2;6;10.2;6;10.2;6;12.67;7;12.67;7;12.67;7;12.67;7;14.81;8;14.81;8;14.81;8;9.09;9;19.12;10;19.12;10;19.12;10;19.12;10;13.17;11;25.6;12;25.6;13;22.02;15;22.02;15;22.02;15
goal monster;3.46;2;3.46;2;11.8;5;11.8;5;16.51;6;16.51;6;16.51;6;16.51;6;16.51;6;16.51;6;21.44;9;21.44;10;21.44;10;21.44;10;21.44;10;14.63;12;14.63;12;14.63;12;14.63;13;11.18;14;11.18;14;13.44;16;13.44;16;13.44;16;13.44;16;13.44;16;16.9;18;16.62;20;16.62;20;16.62;20;;
Willy Wonka;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;7.03;2;1.69;4;11.51;5;11.51;5;15.8;6;15.8;6;23.61;8;29.73;11;13.12;13;19;14;24.05;15;17.85;16;17.85;16;17.85;16;;
