url,zone,days,total invested,deposits number,TopListPrc,monitors number,design,text,licence,forums,reviews,listings,firstLap,plans
ethersmine.org,org,100,220,2,100,4,0,0,0,8,0,0,-1,-1
chdevgroup.com,com,100,145,10,100,2,1,2,1,12,0,0,1,3.5
cryptogrp.com,com,100,20,2,100,2,0,0,0,0,0,0,1,1
investsever.ru,ru,100,-1,-1,-1,-1,1,0,1,0,1,-1,1,8.9
rabb-it.top,top,100,-1,-1,100,2,0,0,1,2,2,0,1,1
iconicfund.io,io,100,-1,-1,-1,-1,757,75,1,1,0,-1,0,2.5
e-profit.biz,biz,100,-1,-1,100,1,0,0,0,5,1,0,-1,0.86
invest.gide-consulting.com,gide-consulting,100,-1,-1,75,4,0,0,0,0,0,0,-1,-1
bitleague.net,net,100,-1,-1,66.67,3,0,0,0,0,0,0,1,30
forexmasters.biz,biz,100,-1,-1,-1,-1,0,0,0,0,0,-1,-1,0.33
btcclock.io,io,99,22468,127,100,2,0,0,1,0,0,0,-1,60
edrcoin.cash,cash,99,11498,69,50,6,0,0,0,13,1,0,1,0.65
emine.to,to,99,5674,78,67.74,31,0,1,0,22,11,3,1,3.6
vip-btcearn.com,com,99,5505,22,0,1,0,0,0,0,0,0,-1,1
evenrex.com,com,99,5253,93,68.42,19,0,0,0,13,7,0,-1,0.57
cryptosystems.world,world,99,1228,11,75,12,0,0,1,11,6,30,0,1.3
ecoinstrader.net,net,99,865,32,12.5,8,0,3,1,13,1,55,1,2.1
temcoins.com,com,99,-1,-1,-1,-1,1,0,1,2,0,-1,1,10
icon-trade.ltd,ltd,99,-1,-1,100,1,0,0,0,4,0,0,-1,0.85
vsemdeneg.com,com,99,-1,-1,-1,-1,1,0,0,1,0,-1,-1,-1
evob.org,org,99,-1,-1,100,1,0,0,0,10,1,0,-1,-1
capitalcastle.trade,trade,99,-1,-1,100,1,100,12,1,0,0,0,1,34.4
coin-techtrade.com,com,99,-1,-1,0,1,0,0,0,0,0,0,0,1.67
lucky-share.com,com,99,-1,-1,100,1,44,5,1,0,0,0,1,60
quatrum.io,io,99,-1,-1,-1,-1,0,0,0,1,0,-1,-1,-1
cryptomeridian.biz,biz,98,77831,873,80,15,749,0,1,7,1,0,1,11
diamonis.com,com,98,13500,323,100,2,0,0,0,3,0,0,1,1.43
btcwait.com,com,98,9302,199,88.89,18,10,2,1,12,0,0,-1,2.14
inquantum.biz,biz,98,8595,12,80.65,31,1,0,0,13,11,0,1,2.05
cetech.cc,cc,98,8182,212,90,20,4,0,1,11,1,0,1,3
argent-facile.club,club,98,7528,119,100,3,751,467,1,11,0,0,1,34.14
btctradecorp.com,com,98,6883,146,75,8,0,0,0,3,0,0,1,11
taurise.com,com,98,974,11,100,3,2,0,0,5,2,0,1,1.8
dailypaying.com,com,98,575,25,88.89,9,1,19,1,13,1,0,1,3
general-fund.com,com,98,80,4,100,4,0,0,1,12,0,0,1,2
