url,zone,days,total invested,deposits number,TopListPrc,monitors number,design,text,licence,forums,reviews,listings,firstLap,plans
mining.ecos.am,ecos,261,282,3,9.09,11,0,0,0,21,6,379,0,1
sanzeprofit.com,com,259,57814,676,27.27,22,0,0,0,16,7,4,-1,-1
dexau.com,com,256,58428,304,11.76,34,0,0,0,27,6,2,1,2.1
lightassetsltd.com,com,256,2285,46,23.08,13,0,0,1,29,3,261,-1,0.43
uniex.biz,biz,254,74797,276,17.65,34,0,0,0,26,12,3,-1,7
coinex-tp.com,com,254,85,5,20,10,757,496,1,21,0,193,0,2
auction-today.com,com,252,1003,11,0,14,749,556,1,29,0,135,1,0.2
etherbank.net,net,251,930,28,0,5,749,11,1,10,0,71,-1,0.36
pruglobal.biz,biz,250,8168,174,0,7,748,553,1,2,0,130,1,2.2
opixt.com,com,247,12960,100,7.69,13,1,1,1,28,3,80,1,5
msrise.com,com,242,-1,-1,33.33,6,0,0,0,0,7,1,-1,0.5
e-coiner.com,com,242,-1,-1,0,1,748,425,1,1,0,0,-1,0.29
globalokexfund.com,com,240,700,9,0,4,1,1,1,26,0,59,1,0.5
negix.io,io,240,-1,-1,50,6,1,0,0,11,3,300,-1,0.05
humbertrust.com,com,239,-1,-1,0,2,755,427,1,1,0,2,0,2
bnpowerltd.com,com,239,722624,2886,0,23,0,40,1,12,3,562,-1,0.86
cannergrow.com,com,239,23628,51,0,1,0,0,0,1,0,49,-1,-1
cosmogame.pro,pro,232,-1,-1,50,2,0,0,0,1,1,0,-1,-1
rivatinvestment.com,com,228,25,1,0,12,0,0,0,7,0,120,1,10
t.me-prizmspacebot,me-prizmspacebot,228,-1,-1,0,5,0,0,1,0,8,0,-1,0.7
social-invest.org,org,227,488,19,0,5,0,0,1,9,2,125,-1,2.86
trackmania.space,space,220,-1,-1,0,1,0,0,0,2,1,0,-1,-1
detrade.org,org,216,-1,-1,0,3,1,0,0,12,2,110,-1,0.25
kuailiandp.com,com,210,-1,-1,0,1,0,0,0,0,0,0,0,0.32
bel.plus,plus,208,-1,-1,0,1,0,0,0,0,0,0,1,0.6
bosss.us,us,207,275,4,0,6,151,370,1,21,0,130,-1,0.29
btclaser.trade,trade,205,-1,-1,0,1,0,0,1,2,1,0,-1,2
mrcurrency.net,net,205,-1,-1,0,1,2,0,1,0,1,0,1,0.43
